year,lat,lon,value
1850,-90.0,0.0,-0.22937012
1850,-90.0,10.0,-0.22935867
1850,-90.0,20.0,-0.22919464
1850,-90.0,30.0,-0.22767258
1850,-90.0,40.0,-0.22753906
1850,-90.0,50.0,-0.2274704
1850,-90.0,60.0,-0.22738266
1850,-90.0,70.0,-0.22737885
1850,-90.0,80.0,-0.22735596
1850,-90.0,90.0,-0.22735596
1850,-90.0,100.0,-0.22740936
1850,-90.0,110.0,-0.22742462
1850,-90.0,120.0,-0.22747803
1850,-90.0,130.0,-0.2267189
1850,-90.0,140.0,-0.22666168
1850,-90.0,150.0,-0.22675323
1850,-90.0,160.0,-0.22682953
1850,-90.0,170.0,-0.22724915
1850,-90.0,180.0,-0.22795486
1850,-90.0,190.0,-0.22797775
1850,-90.0,200.0,-0.22805405
1850,-90.0,210.0,-0.2281456
1850,-90.0,220.0,-0.22829056
1850,-90.0,230.0,-0.2288742
1850,-90.0,240.0,-0.22937393
1850,-90.0,250.0,-0.22936249
1850,-90.0,260.0,-0.22936249
1850,-90.0,270.0,-0.22937012
1850,-90.0,280.0,-0.22937012
1850,-90.0,290.0,-0.22937012
1850,-90.0,300.0,-0.22937393
1850,-90.0,310.0,-0.22937012
1850,-90.0,320.0,-0.22936249
1850,-90.0,330.0,-0.22936249
1850,-90.0,340.0,-0.22936249
1850,-90.0,350.0,-0.22936249
1850,-82.46073298429319,0.0,-0.79540634
1850,-82.46073298429319,10.0,-0.771965
1850,-82.46073298429319,20.0,-0.79016876
1850,-82.46073298429319,30.0,-0.77262115
1850,-82.46073298429319,40.0,-0.64185715
1850,-82.46073298429319,50.0,-0.71508026
1850,-82.46073298429319,60.0,-0.67180634
1850,-82.46073298429319,70.0,-0.55981064
1850,-82.46073298429319,80.0,-0.62532806
1850,-82.46073298429319,90.0,-0.600029
1850,-82.46073298429319,100.0,-0.57717896
1850,-82.46073298429319,110.0,-0.5362663
1850,-82.46073298429319,120.0,-0.5329056
1850,-82.46073298429319,130.0,-0.32438278
1850,-82.46073298429319,140.0,0.14253235
1850,-82.46073298429319,150.0,0.79681015
1850,-82.46073298429319,160.0,1.2855015
1850,-82.46073298429319,170.0,1.755785
1850,-82.46073298429319,180.0,1.6354694
1850,-82.46073298429319,190.0,1.6445866
1850,-82.46073298429319,200.0,2.1833344
1850,-82.46073298429319,210.0,2.4906006
1850,-82.46073298429319,220.0,2.6268826
1850,-82.46073298429319,230.0,2.4404469
1850,-82.46073298429319,240.0,2.0627613
1850,-82.46073298429319,250.0,1.7535648
1850,-82.46073298429319,260.0,1.3741074
1850,-82.46073298429319,270.0,0.80236435
1850,-82.46073298429319,280.0,0.17076683
1850,-82.46073298429319,290.0,-0.19149017
1850,-82.46073298429319,300.0,-0.09547043
1850,-82.46073298429319,310.0,-0.22155762
1850,-82.46073298429319,320.0,-0.39229202
1850,-82.46073298429319,330.0,-0.8702545
1850,-82.46073298429319,340.0,-0.9941902
1850,-82.46073298429319,350.0,-0.91996
1850,-74.92146596858639,0.0,-0.3701744
1850,-74.92146596858639,10.0,-0.30701828
1850,-74.92146596858639,20.0,-0.44210815
1850,-74.92146596858639,30.0,-0.43224716
1850,-74.92146596858639,40.0,-0.38404465
1850,-74.92146596858639,50.0,-0.4907112
1850,-74.92146596858639,60.0,-0.63222885
1850,-74.92146596858639,70.0,-0.40480423
1850,-74.92146596858639,80.0,-0.19814682
1850,-74.92146596858639,90.0,-0.10959244
1850,-74.92146596858639,100.0,0.051250458
1850,-74.92146596858639,110.0,0.13795471
1850,-74.92146596858639,120.0,0.19546127
1850,-74.92146596858639,130.0,0.046337128
1850,-74.92146596858639,140.0,0.21222687
1850,-74.92146596858639,150.0,0.74380493
1850,-74.92146596858639,160.0,1.4152718
1850,-74.92146596858639,170.0,1.0281525
1850,-74.92146596858639,180.0,0.5895777
1850,-74.92146596858639,190.0,0.43210602
1850,-74.92146596858639,200.0,0.5864029
1850,-74.92146596858639,210.0,0.6003666
1850,-74.92146596858639,220.0,1.0571051
1850,-74.92146596858639,230.0,1.480402
1850,-74.92146596858639,240.0,1.5420818
1850,-74.92146596858639,250.0,1.3571529
1850,-74.92146596858639,260.0,1.5324993
1850,-74.92146596858639,270.0,1.4403515
1850,-74.92146596858639,280.0,1.5228024
1850,-74.92146596858639,290.0,0.23262405
1850,-74.92146596858639,300.0,0.5378151
1850,-74.92146596858639,310.0,0.434803
1850,-74.92146596858639,320.0,0.3114395
1850,-74.92146596858639,330.0,0.20951462
1850,-74.92146596858639,340.0,-0.2919674
1850,-74.92146596858639,350.0,-0.23850441
1850,-67.38219895287958,0.0,-0.7244568
1850,-67.38219895287958,10.0,-1.0606928
1850,-67.38219895287958,20.0,-0.73199654
